comparison,correlation,p_value,n_points
Surface_Vac vs Edge_Vac,0.9928527088681472,6.958095458575312e-60,65
Surface_Air vs Edge_Air,0.9896404421726394,7.935546229091999e-55,65
Observed_Edge_Vac vs Model_Edge_Vac,0.9916902712514144,7.880077754920516e-58,65
Observed_Edge_Air vs Model_Edge_Air,0.982140948901495,2.0017256855524133e-47,65
Starshade_Edge_Vac vs CalWafer_Edge_Vac,0.9880427620990727,7.102165977888734e-53,65
Starshade_Edge_Air vs CalWafer_Edge_Air,0.9941896079359241,1.0425896022041284e-62,65
Surface_Vac vs Surface_Air,0.9914354860235215,2.0325372766496805e-57,65
Edge_Vac vs Edge_Air,0.9957008520668197,8.070705475141172e-67,65
Surface_Cumulative_Vac vs Surface_Binned_Vac,0.9981849407964254,1.3378122357120345e-78,65
Edge_Cumulative_Vac vs Edge_Binned_Vac,0.9519963553177055,1.8013212780113043e-30,58
CalWafer_Edge_Vac vs Model_Edge_Vac,0.9915227821629531,1.4738242746277477e-57,65
