dataset,n_points,slope,intercept,r_squared,p_value,pcl_area,pcl_diameter,std_error_slope,std_error_intercept
Surface_Vacuum,65,-1.4821004344870872,8.987601692315295,0.9708855053843333,4.228670822750899e-50,1159037.808378282,1214.797419930749,0.032335380743033736,0.061289163915647774
Surface_Vacuum_Binned,65,-1.2813301979813843,7.697340648507696,0.9519450420363852,3.059547691037686e-43,1016961.4435467056,1137.9083993866209,0.0362705339947174,0.06874793653973676
Surface_Air,65,-1.2480347876226634,8.638939462167764,0.9119406940872077,6.030327713218511e-35,8356687.91553917,3261.91132881857,0.048860819564861546,0.0926118298455121
Surface_Air_Binned,65,-0.7925566642871511,6.740538252822052,0.6994147695277972,4.2789045740766665e-18,319744398.8271197,20176.99712034128,0.06546007017302063,0.12407440019485168
Edge_Vacuum,65,-1.168469300603394,4.5792272635334434,0.9555178925678056,2.6788921067456753e-44,8298.44348104013,102.7905948995822,0.03176291096786333,0.06020409260734929
Edge_Vacuum_Binned,58,-0.8528561030805069,3.0475076450512915,0.9070564574708103,1.4337200174937186e-30,3743.660029609749,69.04039391358904,0.03648162704149965,0.06429099589990656
Edge_Air,65,-1.1314157284761097,5.013934999938486,0.9713517566940508,2.5424255754058466e-50,27012.110027907274,185.4531926774753,0.024480070846755315,0.04640004355342845
Edge_Air_Binned,60,-0.8664808854590014,3.53781350454108,0.9214846393205434,9.753933156912444e-34,12105.082180367823,124.14777212786888,0.03321071722535706,0.05994653352808237
CalWafer_Edge_Vacuum,65,-0.7510843861019372,3.7466790005775517,0.9897329760925642,2.3079278275539883e-64,97355.29797449139,352.07472966771917,0.009637884678631487,0.018267850270976452
CalWafer_Edge_Vacuum_Binned,62,-0.6224628686376793,2.3020694211724546,0.7893771454147638,5.830791116798239e-22,4992.569144381117,79.7291443855422,0.04150957604727475,0.07687821119495665
CalWafer_Edge_Air,65,-0.7645475940417438,4.257268993054296,0.992835361967873,2.758535969415969e-69,370126.7896096988,686.4838418323772,0.00818262709716204,0.015509524301074726
CalWafer_Edge_Air_Binned,64,-0.6871417043743873,2.8812364695778587,0.7341704037750025,1.703623262956037e-19,15598.206360482372,140.92641045987688,0.05251141151121353,0.0987620211885629
Model_Edge_Vacuum,65,-1.0543159571782357,3.8460360293784,0.9539492777248472,7.987482480938109e-44,4445.258402178233,75.23216588813305,0.029184757313512753,0.05531740569381231
Model_Edge_Vacuum_Binned,65,-0.7817012236341244,2.2692472865290334,0.8804091174591807,9.436053256835944e-31,799.7603609428426,31.91060196649531,0.03629754787718086,0.06879913922336862
Model_Edge_Air,65,-0.8923297544318327,3.665413035887198,0.8835126163335593,4.114797845403009e-31,12814.123623004014,127.73194169014157,0.04082142562085471,0.07737379268948284
Model_Edge_Air_Binned,65,-0.2927419337176839,1.3123902283686086,0.24111562008729864,3.280710474978953e-5,30415.581501474437,196.79004330451414,0.06543193992648894,0.12402108153117579
